form	sentence_1	sentence_2	label
dele	ved århundredeskifter er der kun skudår, når årstallet kan deles med både 100 og 400	Når lagkagen skal deles ved børnefødselsdagen, gælder det om at dele den i lige store stykker	0
deponere	Håndpenge er den del af udbetalingen, som køber deponerer hos ejendomsmægler	Det koster knap 1000 kroner pr. ton at få forurenet affald deponeret på Klintholm	0
depositum	Meningen med et depositum er, at udlejeren er økonomisk garderet, hvis du ødelægger noget eller stikker af uden at betale husleje	Vi lagde et depositum på 200,- for nøglen (til instituttet	1
dialog	De israelske myndigheder ønskede tilsyneladende igen at markere, at de ikke ønsker nogen form for dialog med PLO	psyken består af to systemer: bevidstheden og det ubevidste, der livet igennem fører en dialog med hinanden af nødvendighed for den mentale sundhed	1
direkte	det ville være dumt at løbe direkte hjem til Albertslund. I stedet gik jeg mod Glostrup	Der bliver direkte busforbindelse mellem Kalundborg og den ny DSB-hovedstation i Høje Taastrup	1
disrespekt	Tyve, der har en åbenlys disrespekt for andre menneskers ejendom, har ofte respekt for konsekvensen ved at blive afsløret	Hvis børnene vokser op med, at forældrene ikke har respekt for lærerne på skolen eller for de andre forældre, vil den disrespekt følge barnet i skolen	1
djævel	Det er om denne stolte, arme djævel af en far .. Bandini egentlig kredser	De djævle skyder jo på alt, hvad der bevæger sig, kvinder, børn og gamle mennesker	0
drama	vi var øjenvidner til dramaet, vi så hvordan unge arbejdere og studenter blev knust under den kinesiske hærs tanks	Der ventes drama til sidste sekund, når de professionelle cykelryttere i dag afgør årets World Cup	1
dramatik	100 medvirkende, herunder 30 mands orkester og 40 elever fra Frederiksberg Kommunes Ungdomsskoles afgangshold i dramatik, skal nu vise, hvad de har forberedt siden september 1991	Af den ældre danske dramatik har Det Danske Teater valgt Holbergs Barselsstuen	0
drej	skibet væltede over i løbet af et halvt minut under et drej i Basilan Strædet	Dit første drej : på lykkehjulet giver en tabt tur desværre, Ole!	0
dreje	Uvilkårligt trådte far på bremsen og drejede samtidig skarpt til højre	Vejen drejede brat, det gik ned ad bakke	1
drikke	i Sverige er der på tjenesterejser 470 svenske kr. til mad, drikke og lommepenge	I Danmark er det moderne at drikke kildevand. For så er man både sund, rig og på vej frem	0
drive	Blå Kors og KFUM driver en række behandlingshjem for alkoholikere	Niels Bohr var en drivende kraft ved grundlæggelsen af Risø i 1956	1
dusk	Hun havde farvet en mørkeblå og en orange stribe i det lyse hår og samlet det i en dusk på toppen af hovedet	På toppen af den blanke, fedtede hattepuld sad en lille, strittende dusk af blå læderstrimler	1
dyb	Efter et sving befinder vi os pludselig på kanten af en dyb kløft, der fører ned til en grøn slette	Kaj bliver begravet i dybeste stilhed	0
dyd	jeg ville blive smidt ud hjemmefra, hvis jeg ikke holdt mig på dydens smalle sti	Den største del af befolkningen taler om dyd, men lever som deres drifter dikterer dem	1
dygtig	takket være dygtige kirurger og narkoselæger er dødsfald i forbindelse med tarmslyng stadig sjældnere	insekter er mestre i camouflage. Og hvis man opdager dem, er de dygtige til at slippe hurtigt væk	1
dynamisk	Mozarts lille G-mol symfoni .. fik her en velfortjent opførelse med mange dynamiske kontraster	virksomhederne vil have dynamiske, menneskekloge, visionære og fleksible mennesker	0
dæmpe sig	ægtemænds interesse for deres kone blusser op i perioder og dæmper sig ned i andre perioder	dæmp dig lidt ned, så vi kan snakke stille og roligt om det, ikke?	0
dø	Rosalie blev anbragt på børnehjemmet som 9-årig, da hendes mor døde af sukkersyge	Anita har haft to aborter og én søn, der døde vuggedøden i en alder af 3 mdr.	1
dømme	En nordsjællandsk sparekassebestyrer er blevet dømt for millionsvindel	Hvordan er dit image? -- Det må andre dømme om	0
efterlade	hun er rejst uden at efterlade sig nogen adresse	den unge Paula .. har måttet efterlade sine børn i Schweiz på sin flugt	1
eksemplar	det sjældne Sumatra-næsehorn er der kun 400 eksemplarer tilbage af	Maskinen er foreløbig bygget i bare 25 eksemplarer	1
eksistens	Vi havde en hule oppe under taget i selve pakhuset. Ingen anede dens eksistens	Min blotte eksistens betyder noget for andre mennesker	1
element	Når elementets poler + og -- ikke er forbundet med hinanden gennem et kredsløb, afgiver elementet ingen strøm	Endog Socialistisk Folkeparti kan se positive elementer i statsministerens åbningstale	0
elendig	Hun havde gået i en elendig skole	Du er altså verdens mest elendige kok, far, grinede hun	1
englehud	Syv barbermaskiner efterlod sig fyrre mandekinder med englehud i en test	Tænk, at jeg til sommer kan gå i sandaler og ikke skal bruge gaze og englehud om tåen mere	0
enhed	jeg vil foreslå, at du tager 1000 enheder E-vitamin dagligt, hvis dit blodtryk er i orden	ramme-styring går ud på, at den enkelte enhed i den offentlige sektor får en vis sum penge til rådighed	0
enstavelsesord	Børn begynder at pludre .. i 3-6 måneders alderen. I løbet af de næste 3 måneder bliver denne pludren til enstavelsesord	hun havde næsten været stum hele aftenen og svarede kun med enstavelsesord, når han spurgte hende om noget	0
erstatte	Lejeren skal erstatte al skade, som hans husstand .. ved vanrøgt eller forsømmelse volder på det lejede	pengene kan jo aldrig erstatte tabet af min førlighed, siger han	1
essens	Journalisten må ikke vurdere bogen, men gerne citere fra den eller gengive essensen af den	De 1060 liter finsprit kunne omdannes til den dobbelte mængde spiritus af en hvilken som helst art blot ved at tilsætte essenser	0
fable	Nu kommer han. Bliv stående helt stille! Martin anede ikke, hvad manden fablede om	Ham, jeg bor sammen med nu, fabler allerede om et drivhus, hvor han kan høste duggede druer i klasevis	0
fagforbund	uafhængige fagforeninger .. anerkendtes af regeringen og sluttedes sammen i fagforbundet Solidarnosc	TV-A-jounalisternes eget fagforbund, Dansk Journalistforbund har mange gange tidligere taget kraftigt afstand fra journalisters dobbeltjob	0
fakultet	Al mulig respekt for de ikke-professorale lærere og det såkaldte administrative og tekniske personale. Men som medlemmer af fakultetet: en utænkelighed	Universiteterne lukker fakulteterne på stribe og sætter professorerne på gaden	0
falde	Thomas kan bedst lide efteråret i skoven. Han kan godt lide at se bladene falde ned gennem luften	der falder mange bomber over hele byen	1
falde 'sammen	Som en slatten klud faldt han sammen på køkkenbænken	kagen falder sammen på midten	1
familieaften	Jytte Hilden holder familieaften hver søndag med stegte sild	Kirkens Korshær inviterer til familieaften i Kapernaumskirkens Menighedslokaler	0
fantasi	I kvindernes drømme og fantasier om mænd er der ingen grænser for, hvad de kan opleve og nå	han tjente mere end de for kort tid siden i deres vildeste fantasi havde turdet håbe på	1
fart	radiosignaler bevæger sig med samme fart som lyset	Der kom ikke fart nok på bolden	1
farve	mest så man ham på stranden, hvor han stod og smurte farver på et lærred	Oliepastelkridt er en fed og blød farve, som er stærkt afsmittende og meget dækkende. Farven smuldrer og knækker let	1
fase	Astma udvikler sig i tre faser. De to første faser af sygdommen kan behandles med medicin, mens det tredje og ødelæggende stadium er uhelbredeligt	Hvis bølgebevægelserne i hvert punkt har samme fase vil interferensen forstærke bølgebevægelserne	0
fastholde	jeg fastholder, hvad jeg har sagt	Vi vil fastholde såvel de nuværende takster som de nuværende åbningstider i daginstitutionerne	0
fastpris	TDC vil næste år introducere fastpris på mobiltelefoni på det danske marked og følger dermed efter konkurrenterne TeliaSonera og Sonofon	75 pct. af bøgerne herhjemme sælges til fastpris, mens den resterende del af salget er flyttet til supermarkeder, tankstationer og andre steder	1
fastprissystem	Apotekernes fastprissystem, der betyder, at medicin koster det samme på alle landets apoteker bevares	Hvorfor skal vi så have et fastprissystem? Forbrugerne vil selv være med til at bestemme prisen på en vare, og det er de hos os, så de får varerne til den reelle markedspris	1
favorit	hun er regnet blandt favoritterne i damesingle	Eeva Kilpi er Berlingske Tidendes favorit til Nordisk Råds store Litteraturpris	1
fed	Det er tradition, at vi den 1. oktober i fællesskab går en tur over feddet, der strækker sig mellem fjord og hav	Spiser man hver dag et par fed hvidløg, vil risikoen for hjertekarsygdomme falde for gennemsnitsdanskeren	0
feje	Det blå lys på taget af politiets biler fejer hen over murene	Hen mod aften fejede en storm over byen	1
felt	når man kigger ned igennem feltet, ja så er der mange af rytterne, som kører uden hjelm	otte minutter før tid blev Kristian Thomsen brutalt fældet lidt udenfor feltet	0
fersken	Eksotiske blomster og farver som paprika, fersken og karry gik igen i modeopvisningen	Ved sydvendte mure plantes fersken, abrikos, figen, druevin og måske en varmekrævende pære	0
fidus	Den gamle fidus med at hænge tomme æggebakker op på væggene som akustik-regulator virker stadigvæk	hvis det er noget med, at der er 1½-2 års ventetid, så er der jo ikke meget fidus ved det	1
figur	den folkekære skuespiller og sanger Poul Bundgaard er en gennemgående figur i en ny og særdeles lovende serie	De var begge offentlige figurer i Socialdemokratiet	1
filter	Susan Dey pulser løs på en cigaret uden filter. Dem ryger hun 40 af .. om dagen	Nogle cremer har et filter, der beskytter mod lysets stråler	0
fimrehår	På ydersiden af cellevæggen er der fimrehår, som cellen bevæger sig med	Undgå at ryge, for røgen bedøver de fimrehår, som har til opgave at rense luftvejene for slim og partikler	1
finde 'ud af	Susanne fandt ud af, at hendes kondi ikke var nær så god, som hun troede	lægerne havde svært ved at finde ud af, hvad hun fejlede	1
fingerslag	Marie Hansen leverede flere formidable redninger og godt placerede fingerslag	hvis de kun har fingerslag som angrebsvåben at byde på, så skal vi ikke være bange, sagde DHG-træner Jeppe Haugaard	1
fladskærm	Hjemmebiografen nærmer sig med en kæmpe fladskærm på væggen og en Digital Video Disc til at afspille filmen	Tastatur og mus er selvfølgelig trådløse og skærmen er en fladskærm	1
flertal	Bolignøden er afskaffet for det store flertal af befolkningen	hun har samlet på julekrybber i mere end 30 år. Hvert år er flertallet udstillet et sted i landet	1
flette	Kvinderne flettede deres hår i alle mulige smukke frisurer	De arbejder med at flette kurve og dreje lerpotter	1
flot	det var unægtelig flot og effektfuld musik, vi fik at høre	jeg kunne så godt tænke mig at kunne tale rigsdansk, jeg synes det er så flot	1
flyde	Dagene flød af sted med en passende blanding af aktiviteter	ordene kom flydende helt af sig selv. Det var så let at skrive	1
flyde	Hun græd uhæmmet og tårerne flød som en sand syndflod ud af hende	et af de små lavbenede bæster .. bider mig i låret så blodet flyder og bukserne flænges	1
flyve	Folk vil flyve længere væk på ferie om vinteren	har du aldrig prøvet at flyve?	1
fløjte	han fløjtede en munter melodi, da han forsvandt ned ad trappen	Fuglene ligefrem fløjter om kap med bilernes piften og summen ude på Motorringvejen	1
fodende	Han svedte under dynen. Han skubbede den ned i fodenden og knappede pyjamassen op	Miranda nikker, hun står og holder om fodenden af sengen	0
fodfæste	man skulle passe på de våde skrænter, hvor det var let at miste fodfæstet	Koncernen arbejder i øjeblikket på at få fodfæste i Norge og Finland	0
fodre	vejrkort udtegnes -- uberørt af menneskehånd -- når computeren er fodret med oplysninger om temperaturer og vindforhold	jeg har vel heller ikke pligt til at fodre de andres unger med biografture	1
forberede	Regeringen forbereder en lovstramning, så grove konkursryttere fradømmes retten til at starte ny virksomhed	Jeg havde forsigtigt forberedt min mand på, at der sikkert ville blive afslag på ansøgningen igen	0
forbud	Jeg er .. ikke tilhænger af ideer om generelt forbud mod alkohol på arbejdspladsen	Vi har fået forbud mod at udtale os direkte til pressen	1
fordele	Fortjenesten fordeles procentvist i forhold til anpartshavernes indskud	Malerrullen føres med rolige bevægelser i begge retninger, så malingen fordeles jævnt	0
fordømt	Jeg har gået her så ofte, at jeg kender hver eneste fordømte sten på vejen	Nej, han ville ikke tænke på Yvonne nu. Senere, ikke nu. Det hele var alt for fordømt godt. Han havde lyst til at fejre det	0
foregå	Rejsen foregår med bus	Hvad fanden foregår her, råber gadebetjenten på ravjysk	1
foreskrive	Den diæt, som lægerne havde foreskrevet ham, ville han ikke holde	Reglerne foreskriver .. at checks og legitimation ikke må opbevares sammen	0
forflytte	gamle skal ikke forflyttes fra plejehjem til plejehjem p.g.a. besparelser	Hun samler regningerne op og forflytter dem til skraldespanden så de i det mindste ingen synlig gæld har	1
