form	sentence_1	sentence_2	label
afdække	han begyndte at klæde sig af og .. afdækkede en slank og i høj grad velplejet mandskrop	Ved maling af paneler kan gulvet afdækkes med et stykke karton	0
affald	Da meget af affaldet er emballage, burde man måske, for at begrænse omfanget af affald, afskaffe emballagen hvor det vil være muligt	Staten regner med at affald, halm, træ og biogas skal dække ca. 7 % af energiforbruget i år 2010	1
affyre	Fra bilen blev der affyret fire-fem skud med haglgeværer mod ejendommen	de prøver at overgå hinanden i kunsten at affyre friskfyragtige replikker	0
affære	På baggrund af blandt andet .. affæren omkring 6. Juli Banken stiller SF i næste uge forslag om en stramning af loven om revision	Weekendens TV blev en broget affære, hvor vi blev præsenteret for et varieret udbud af programmer	0
afføring	Jeg kender en fyr som i den sidste tid har haft blod i urinen og afføringen	Man skal vælge et fast dagligt tidspunkt til afføring, bedst efter et stort måltid	0
afgang	Allerede før hun tog afgang fra Skolen for Brugskunst, udstillede hun på Charlottenborgs forårsudstilling	selv om der var flere timer til aftentogets afgang, så sad hun allerede parat og rejseklar	0
afgang	Der har i dag været forlydender fra Moskva om, at Gorbatjov forbereder sin afgang	SAS sætter en ekstra afgang ind mellem København og Genève	0
afgift	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	Palle Simonsens forslag om afgifter på dåbsattester m.v. falder ikke i god jord	0
afgift	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	Hvis der betales med et Dankort, betaler .. du som kunde en afgift, og derudover betaler sælgeren en noget større afgift	0
afgive	En tændt el-pære afgiver både lys og varme	At afgive blod eller sæd, det kommer for mig ud på et. Blod redder liv. Med sæd skabes liv	0
afgivelse	Venstre var irriterede over afgivelsen af finansministerposten i 1984	et stof overgår fra flydende til fast tilstand under afgivelse af varme	0
afgrund	Lad os nu hver især give vores bidrag til, at Danmark kan fjerne sig endnu mere fra den økonomiske afgrunds rand	denne afgrund mellem viden, moral og handling er desværre et tidstypisk tegn	0
afgrøde	I mere end 4.000 år har agerbrugere forbedret jordens vækster for at opnå bedre afgrøder	Til afgrøder som korn, kartofler, kål og frugt anvendes kunstgødning og sprøjtemidler	0
afgud	trods alt var det næppe i Fritz Clausens skikkelse .. K.U.erne så deres åndelige afgud	I ved, hvordan I viljeløst blev drevet med til de stumme afguder, dengang I var hedninger	0
afgå	Bus 34 over Ullerup afgår en gang i timen fra Rådhuspladsen	Rådets medlemmer vælges for to år ad gangen således at halvdelen afgår hvert år	0
afgøre	Det er domstolene der afgør spørgsmålet om forældremyndighed, hvis ægtefællerne er uenige	i weekenden skulle det hele afgøres. Sommerferiens rejsemål skulle vedtages uigenkaldeligt	0
afgørelse	efter en målløs første halvleg kom afgørelsen tre minutter efter pausen	Som afgørelse på et væddemål, vil jeg gerne have oplyst datoen for hans fødselsdag	1
afgørelse	lægen arbejder hver dag med de svære afgørelser, som kan betyde liv eller død	Domsmandsrettens afgørelse ventes at falde sidst på eftermiddagen	0
afholde	Byrådet afholder i 1984 møde den 2. onsdag i hver måned	Amtskommunen afholder udgifterne ved undervisning af indvandrere	0
afhængighed	hvis der gives nerve- eller sovepiller .. bør lægerne give deres patienter en grundig information om faren for afhængighed	disse noveller handler om datterens afhængighed af, sårbarhed overfor og beundring for moderen	0
afkalke	mange læger behandler kvinder med en lille smule østrogen for at forhindre, at knoglerne afkalker	kaffemaskinen .. blev afkalket med eddikesyre	0
aflad	Beløbet : til et barn i et udviklingsland kan jo også betragtes som en slags aflad for dengang Danmark drev slavehandel	Særligt harmedes Martin Luther over den aflad for synder, man kunne købe sig til	0
aflade	Da en bils lygter .. bruger meget strøm, kan en bilakkumulator hurtigt aflades, hvis man glemmer at slukke lyset	Lejemorderen afladede den bedagede Colt og tog de tomme hylstre ud	0
aflede	Ordet intelligens kommer fra latin og er afledt af verbet intelligere at forstå	kulbrinter betragtes som grundtyper hvoraf andre organiske forbindelser afledes	0
aflede	Alle andre følelser er afledt af primære følelser som glæde, sorg, frygt og vrede	danske vandløb .. er beregnet til én ting: til at aflede vand	0
aflevere	På apoteket kan du selv aflevere dine sorterede medicinrester	De måtte aflevere deres personlige ejendele og blev iført fængslets arbejdstøj	0
aflevere	Danyard i Aalborg afleverede i går Standard Flex-fartøjet Gribben til Søværnet	For at få dagpenge skal man sende eller aflevere en blanket til kommunen	1
aflevere	Fra en urokkelig førerposition risikerer Næstved at måtte aflevere førstepladsen til AGF	En dygtig skuespiller afleverer ikke bare teksten, men er selv den rolle, der spilles	0
aflevering	I løbet af få timer vil manuskriptet være klar til aflevering	om gymnasieelev: Hendes noter og afleveringer er en fryd for øjet	0
aflægge	Den mandlige leder kan med fordel aflægge sin bøse facon, hvis han vil have et godt samarbejde med sine kvindelige medarbejdere	man forventede, hun aflagde sin katolske tro til fordel for sin kommende ægtefælles	1
aflæse	Laserstrålen er nænsom, når den aflæser informationerne og omsætter dem til musik på stereoanlægget	Gasforbrugerne kan .. aflæse forbruget på måleren og gange med prisen pr. kubikmeter gas	0
aflæse	skredet i samfundsmoralen kan aflæses i de mange danskere, der snyder i skat	Jeg bliver ihærdigt ved med at vride og vende læberne i håb om at han kan aflæse mine mundbevægelser	0
afløb	Gå ud og hug noget brænde. Så får du afløb for din hidsighed	Husk at rensevæsker, syrer og andre stærke produkter ikke må hældes i afløbet	0
afløb	Efter sædafgang åbnes afløbet fra svulmelegemerne, og lemmet bliver blødt og slapt igen	næsedråber .. får slimhindehævelsen til at aftage, så afløbet fra bihulerne bedres	0
afløser	Hvad laver du nu? Jeg er afløser .. i køkkenet, som køkkenassistent	Papir er kommet for at blive, skønt edb og datakommunikation var spået som papirets afløser	0
afmontere	Læg-selv-gulvet kan lægges oven på et eksisterende gulv, uden at det er nødvendigt at afmontere dørtrin og fodpaneler	Rusland er allerede begyndt at afmontere en del af deres SS 18 atomraketter, der peger mod mål i USA	0
afmønstre	Jeg har besluttet mig til at afmønstre. At gå i land. Jeg har allerede meddelt rederiet det	Udlændinge, der som besætningsmedlemmer på skibe eller fly ankommer til dansk havn eller lufthavn, skal ikke melde sig til paskontrol, medmindre de afmønstres	0
afpresse	To unge mænd, der sigtes for at have afpresset en 41-årig handicappet skabsbøsse, fik i går forlænget deres varetægtsfængling	under den afsluttende debat blev ministeren afpresset et tilsagn om at sikre en ny ansøgningsrunde fra interesserede institutioner	0
afrejse	de afrejsende trak sig nølende tilbage op over landgangsbroen	Rigtig god rejse, Katrine! Madam Thomsen gav Katrine et knus inden afrejsen	0
afrunding	Den lige næse havde en pæn afrunding	De friske krydderurter er vigtige afrundinger af de tre gryderetter. Udover smagen giver de retten et smukt udseende	0
afsats	Trappeopgangen er af den vanlige, grønmarmorerede slags med to brune døre på hver afsats	det lykkedes os at finde en afsats et par hundrede meter over søen, hvor vores telte kunne stå	0
afsige	På valgdagen afsiger vælgerne dommen over byrådene	Som på kommando afsiger loge-brødrene en hemmelig ed	0
afskrift	Logbogen, som vi kun kender i datidens form for fotokopi, -- afskriften, -- viser os flere sider af mennesket Columbus	Lars har ofte været klassens kilde til afskrift	0
afskrivning	Lovforslagene omfatter emner som hurtig afskrivning af højteknologisk udstyr, der hurtigt bliver forældet	Datamaten er .. et glimrende værktøj til at udregne afskrivningen på bilen	0
afskum	Forbryderne, det værste afskum fra Marseilles og Norditalien, er her også : til Cannesfestival	De er intet uden et usselt, oprørsk afskum, rasede Bülow	0
afskære	en anordning på busserne afskærer benzintilførslen, når de når hastighedsbegrænsningen	Vi kan ikke afskære folk fra at sige deres mening	0
afskærme	Nærmest huset ligger solterrassen afskærmet fra nysgerrige blikke af den tætklippede bambushæk	Mellem bruser og håndvask afskærmes med en speciallavet plade i råglas	1
afslutning	Ingen kender den fulde sandhed, konkluderer Rifbjerg i bogens afslutning, og det er så sandt som det er sagt	Eksamensstilen er afslutningen på arbejdet med skriftlig fremstilling	0
afslutte	Aftenen afsluttes med kaffe og lagkager	Det vil lette rummet, hvis I kun sætter tapet op 140 cm over gulvet, og så afslutter med en bordeaux træliste	0
afsløre	Kronprins Frederik afslører 5. maj en bautasten i Rebild Nationalpark	han .. tog parykken af og afslørede et skaldet hoved	0
afsnit	Gudstjenesten kan deles op i to afsnit. Den første del er ordets gudstjeneste .. Den anden del er nadveren	Det første samleje bliver måske en dejlig oplevelse, fordi du er sammen med den, du holder af, og fordi I sammen har indledt et nyt afsnit i jeres liv	0
afsnit	Hvert afsnit : i artiklen skal danne sin helhed med sin afslutning, således at redaktionschefen kan klippe artiklen bagfra	kvinderne gik gennem deres egen port, og de deltog afsondret i deres eget afsnit i moskéen	0
afstand	han vidste at såret til trods for de tyve års afstand endnu ikke var lægt	afstanden mellem regeringen og oppositionen er mindsket	0
afstå	jeg mener, at man er på vildspor, hvis man bevidst afstår fra at lære dansk, når man vil være i Danmark	Grundejerne ville ikke afstå stykker af deres private grunde til de nye gader, selv om de fik erstatning	0
afsætning	Sanne Olsen, 26, er cand.merc. i afsætning	kildekalk, frådsten: porøs kalkbjergart dannet ved afsætning af kalk omkring en kildes udspring	0
afsætte	der har aldrig været problemer med at afsætte eksportteknikerne til private firmaer	dronningen skal have sin .. søn, prins Siegfried afsat. Men den unge mand vil så nødig giftes	1
afsætte	hun står fast på, at Venstres top kunne have valgt en smidigere måde at afsætte hende fra ministerposten på	Hver gang du ind- eller afspiller et bånd, afsættes der båndstøv på videohoveder, trykruller og løbeværk	0
aftage	Dagen er aftaget 10 timer og 12 minutter	hjemmemarkedet har aftaget færre øl fra Carlsberg-bryggerierne i de forløbne seks måneder	0
aftale	Den fortsatte udvikling af arbejdsmarkedspensionen aftales ved de kommende overenskomstforhandlinger	En veninde ringer, vi aftaler at jeg kommer ned til hende, når jeg har spist	0
aften	Jeg læser og synger altid lidt : for min datter, så er kl. ca. 21 og resten af aftenen er min	På klare aftener begyndte midnatssolen at mærkes, navnlig den dramatiske aftenvending sent på kvælden	1
aftenskole	Mor går på daghøjskole. Far lærer EDB på aftenskole	Næsten samtlige aftenskoler tilbyder undervisning i engelsk, tysk og fransk	0
aftenstid	ved aftenstid var der flere, som skulle hjem og spise	Han .. gik i retning af hendes hus ved aftenstid, ved nattemørkets frembrud	0
aftentime	behovet for hjemmehjælp i aftentimerne og i weekenderne og på helligdage er stærkt stigende	Gru og Gys blev læst med lommelygte under dynen en sen aftentime	0
afvigelse	den almindelige forståelse for seksuelle afvigelser i den danske befolkning er blevet større	Måleraflæsning foretages almindeligvis en gang om året, men afvigelser fra denne regel kan forekomme	0
afvise	Teglets funktion var at afvise regnen og beskytte bygningens trækonstruktion mod råd og svamp	sagen er undersøgt, og påstanden kan blankt afvises	0
afvæbne	Politifolkene afvæbnede .. en mand, der gik med ulovlig kniv	jeg kender få, der som hr. Arne Melchior på en charmerende og afvæbnende måde kan aflevere en undskyldning	0
afværge	De praktiserende læger og amterne indgik sent i nat forlig. Og en konflikt på lægeområdet er hermed afværget	Fru Baumann nipper til sin mokkakop, men løfter samtidig venstre hånd for at afværge et spørgsmål	0
afværge	ved kollisioner kan en airbag afværge alvorlige læsioner i hoved og bryst	Det lykkedes for betjenten at afværge knivstikket mod hovedet, men han blev ramt i armen	0
agent	Det er klart, at en eller anden fremmed agent er ude efter det avancerede gevær	Inga Nielsen har for et år siden skiftet agent, der nu bl.a. forhandler om et engagement på Metropolitan Operaen i New York	0
agentur	EF-kommissionen ønsker oprettet et særligt agentur, der kun skal beskæftige sig med arbejdsmiljø-spørgsmål	Skandinavisk Motor Co A/S .. har agentur på VW og Audi	0
ager	År for år pøses der gødning ud over de danske agre. Og i stigende mængder	Jorden, overvejende sandmuldet ager, der kan vandes, er samlet ved gården	0
agere	Militært samarbejde handler mindre om hensigtserklæringer, mere om, hvordan man agerer i krig	Tommy Kenter skal spille en stor hovedrolle .., når han agerer Charlie på Nørrebros Teater	0
aggression	USAs nationale interesser dikterer, at den serbiske aggression imødegås med væbnet magt	I december måned skærpes vores aggressioner .. Måneden er for mange en blanding af forceret arbejdstempo, hasteindkøb og julefrokoster	0
agt	når han som ministerpræsident for Bayern behandlede sin forbundspræsident med passende agt, kunne de både tale sammen og spøge sammen	Det er parrets agt etapevis at renovere den gamle ejendom	0
ahorn	du skulle have set den vilde ahorn om efteråret! Med blade så røde som en ildebrand	JH 701 hedder den verdenskendte møbeldesigner Hans J. Wegners stol i ahorn og læder	0
akademi	forfatteren Sundman var medlem af det svenske akademi, De Aderton, som hvert år uddeler Nobels litteraturpris	i 1800-tallet: etablering af selvstændige institutioner for bestemte discipliners praksis, specielt de tekniske akademier og de veterinære højskoler	0
akkord	Murerne havde .. forhandlet sig frem til en ny akkord	Ved en akkord kan man nå frem til en ordning med kreditorerne, så kravenes størrelse nedsættes, forfaldstid udskydes og måske en eventuel retsgæld bortfalder	0
akkord	En god akkord ligger på 150-200 kroner i timen	Niels Hausgaard slår de første akkorder an på guitaren og begynder på sin sang	0
aks	når markerne bliver mere og mere gyldne og kornets aks tungere, så siger vi, at høsten er nær	I akset og klasen springer de nederste blomster ud først, og de øverste åbner sig til sidst	0
akse	Jorden roterer en gang om sin akse på 24 timer	Billedet er bygget op om to akser, en vandret og en lodret. Den lodrette akse midt i billedet adskiller de frelste og de fordømte	0
akse	Et hjulnav er noget, der sættes på en akse	Til et koordinatsystem hører to akser, der som regel står vinkelret på hinanden	0
aksel	Der benyttes en god glasskærer, hvor skærehjulet løber helt frit på akslen	Kraften fra svinghjulet overføres via en aksel til drejeskiven, hvor det våde ler formes	0
akt	DDRs sikkerhedspoliti er genopstået som museum i Berlin. Kaj Bruun fandt sine egne akter i arkivet	Oehlenschlägers sørgespil i fem akter Hakon Jarl med emne fra norsk vikingetid blev opført til Christian 7.s fødselsdag i 1808	0
aktionsradius	Med en gasturbine som indbygget kraftværk og nikkel/cadmium batterier som strømlager har bilen en aktionsradius på 650 km	den transportable hårtørrer med en plastichætte, hvor varm luft susede rundt, gav husmoderen så stor aktionsradius, som el-ledningen tillod	0
aktivist	Det er dyrt at lave tv. Det ved de godt på stationen. Derfor satser de på frivillige aktivister	flere hundrede aktivister brød igennem en kæde af specialtropper og stormede en Lenin-statue	0
aktivitet	Han var i aktivitet fra morgen til aften, og hans mor var segnefærdig af træthed, når det endelig var sengetid	De mest populære aktiviteter både på idrætskurserne og familiekurserne er sejlsport, dans, surf og tennis	0
aktør	Enhver politisk situation har sine aktører, og disse aktører har bestemte -- mere eller mindre veldefinerede -- interesser	De tre aktører, Ole Ernst, Dick Kaysø og Finn Nielsen har sammensat en underholdende forestilling : en revy	0
akvamarin	foruden de dyre farvestene er turmalin, agat, akvamarin, lapis lazuli og jade på mode	Hele rummet er levende og sitrende elektrisk og pulserer i alle spektrets variationer, ultraviolet og akvamarin og skotskternet	0
akvarel	I de foregående århundreder kendte kunsten kun til et begrænset antal teknikker: oliemaleri, akvarel, tegning .. osv.	en stribe ekspressionistiske akvareller .. kan ses i Galleri Uggerby	0
akvarium	På sofabordet står et akvarium med guldfisk	Skoletjenestens medarbejder tilbyder materialer i akvariets forhal	0
alarm	jeg lod foretage et mammografi af mit bryst. Der var ingen knude og ingen grund til alarm, og så var jeg jo glad	Uret har naturligvis også almindelige funktioner som stopur og alarm	0
alarm	Da alarmen hylede, tog voldsmanden flugten med hendes taske, smykker og penge	Når alarmen har lydt er ambulancerne i gennemsnit fremme på fire et halvt minut	1
alarm	Der bliver trængsel og alarm i aften på Skovbo Travbane	Jeg tror, alle mennesker har en indbygget alarm, der slår til når man er ved at gøre noget dumt	0
alarmere	Nåleskovene i Sydsverige har det ikke så godt, men situationen er endnu ikke alarmerende	Ved brand alarmeres beboerne af kirkeklokkerne	0
albuerum	Det gamle tørreloft lå dengang ubenyttet hen, og det gav oplagt mulighed for at skabe mere albuerum og råderet over 100 m²	Giv mennesker med virkelyst og ideer albuerum og store udfordringer	0
alder	Vi lever i en alder, der er præget af en overflod af information	så kigger vi også på nogle forskellige aldre : i undersøgelsen, sådan at vi tager dels børn og midaldrende og så dels nogle ældre	0
alder	At blive skilt i min alder er ikke at blive ensom. Jeg har mange ægte venner	Det frilagte bindingsværk i muren vidner om alderen på ildebrandshuset, der er bygget i 1729	1
alen	Bryggeribygningen var et 88 alen langt og 22 alen dybt hus	under tenniskampen fik Mecir problemer, og omgående voksede Stefan Edbergs selvtillid flere alen	0
alfader	Vær hilset, alfader Odin! Og vær hilset, alle I andre!	gamle Jock står for den alfader, om hvis gunst sønnerne kæmper	0
alkohol	alkoholer: .. Tekn. vigtige er bl.a. metanol, ætanol (alm. alkohol) .. og glycerol	Drikker du alkohol -- rigeligt og stærkt -- risikerer du en akut forgiftning, som kan være livsfarlig	0
alkoholproblem	det er gået op for mig, at min kone har et stort alkoholproblem	Arbejdsløsheden har bl.a. givet sig udslag i visse alkoholproblemer omkring torvet her i byen	0
allergi	Lise har en vis allergi overfor engelsklærere	problemer med at trække vejret igennem næsen kan skyldes allergi, som får slimhinderne til at hæve	0
alliance	Frankrig lægger forhindringer i vejen for en endelig aftale inden for den 16 lande store alliance	Ritt Bjerregaard og Svend Auken har indgået en alliance, der øjensynlig er ubrydelig	0
almindelighed	Som søn af en russisk mor og en polsk far af jødisk afstamning er Druker ikke noget umiddelbart bud på svensk almindelighed	Ingen af dem har sagt stort andet under turen end almindeligheder om vejret	0
altmuligmand	Jeg søger jobbet som altmuligmand ved dette teater, og jeg er villig til at tage ordentlig fat	Han var ganske vist pensioneret gymnastiklærer, men havde altid gået for at være en slags altmuligmand, der både kunne snedkerere og male	0
aluminium	Den meste syreneutraliserende medicin indeholder enten magnesium, aluminium eller kalk	Hver dansker smider hvert år 3 kg aluminium i skraldespanden i form af husholdningsfolie, leverpostejbakker, makreldåser osv.	0
alverden	Den 19. juli 1981 blev parret gift, og alverden så kronprinsen give sin udkårne et kys på en af balkonerne på Buckingham Palace	I sidste uge forhandlede alverdens lande om en redningsplan for det skrantende ozonlag	0
alvor	købmanden gik med værdig alvor rundt og kontrollerede, at alt gik rigtigt til og var til kundernes tilfredshed	man behøver aldrig være bange for at blive tynget til jorden af for megen alvor hos Shakespeare	1
alvorlig	børnene skal undervises, så De må lære Deres dreng at være alvorlig	vidner i straffesager har givet udtryk for alvorlig frygt for at afgive forklaring	0
alvorlig	dansk landbrug har et alvorligt økonomisk problem	Tarmslyng er en alvorlig, akut kirurgisk sygdom	1
ambassade	Den danske ambassade i Bagdad prøver igen og igen at få udrejsetilladelse til danskerne	en gruppe demonstranter knuste nogle ruder i ambassaden med brosten	0
ambassadør	Københavns Drengekor har gennem mange år været en god ambassadør for Danmark i udlandet	Den øverstbefalende for den fredsbevarende styrke bad på grund af granatangrebet den danske ambassadør i Ghana .. om at indkvartere danskerne på et hotel	0
ambolt	I mellemøret ligger de små knogler: hammer, ambolt og stigbøjle	Smeden stod .. ved ambolten og slog på et stykke glødende jern	0
amerikansk	Den amerikanske ambassade i Paris bevogtes bl.a. af amerikanske marineinfanterister	På bredt amerikansk præsenterer en mand sig som Steve Tannenbaum, public relations manager	0
amme	borgerskabet fædre og mødre begyndte i løbet af det 17. århundrede at udvise en inderlig ligegyldighed over for deres børn og systematisk at anbringe deres nyfødte hos ammer	Jeg har en datter, som er fire måneder gammel. Hun kunne ikke amme, for hun har forskubbet en halshvirvel	0
amputere	han havde fået koldbrand i det ene ben og måtte have foden amputeret	lægeuddannelsen i Odense .. skulle amputeres til kun at omfatte 2. del	0
analyse	som voksen får hun en alvorlig depression og kommer i analyse	Andre forskere gik nu i gang med en kritisk analyse af de skandinaviske resultater	0
anarkisme	anarkisme hvad vil det betyde? Danmark ville gå totalt i opløsning, ingen gad gå på arbejde, alle ville ligge og slås	Studenteroprøret var præget af .. anarkismen med dens ide om afskaffelse af alle centrale autoriteter i samfundet	0
anatomi	Anatomien deles i den makroskopiske anatomi, der er den del af anatomien, der kan ses med det blotte øje, og celle- og vævslære, der kun kan studeres under et mikroskop	Hvis Mette ikke kan tiltrække sig opmærksomheden verbalt, klarer anatomien det for hende	0
anbringe	Før har man kunnet optage et lån, anbringe pengene i værdipapirer og sikre sig en renteudgift at trække fra	Det er en god idé at anbringe medicinen i et aflåst medicinskab	0
anbringelse	Sexforbryderen blev 16. januar sidste år dømt til et års anbringelse på et psykiatrisk hospital	loven om livsforsikringsselskabers og pensionskassers anbringelse af midler i erhvervsvirksomhed ophæves	0
and	2-3 hunde pudses ud i søen, så ænderne kan flyve op og man på rigtig jægermaner kan skyde	hun gik bredt og vraltende som en and	1
andedam	Ak ... Danmark, lille selvhævdende provinsielle andedam!	Den naturlige skovmose er netop omdannet til andedam og videnskabelige værdier er gået tabt	0
ane	Slottet anes svagt i månelyset	Skønt Yol er en dyster film, er den ikke tungsindig. Man aner en livsglæde og et håb	1
anerkende	Jeg anerkender med tak modtagelsen af Deres invitation, som jeg naturligvis foruddiskonterer at profitere af	Norge har formelt anerkendt republikken Rusland som selvstændig stat, og det har meddelt, at det ønsker at oprette diplomatiske forbindelser med republikken	0
anerkendelse	i 1970erne opstod en militant bevægelse blandt ur-australierne for anerkendelse af deres oprindelige ret til landet	i sin samtid nød han betydelig anerkendelse som komponist	0
anfægte	Der er vist aldrig nogen, som har anfægtet, at Liza Minnelli kan synge og danse som få	Politik kræver .. et varmt hjerte, men også en kold hjerne, der ikke lader sig anfægte af nok så mange lumske beskyldninger	0
anfægtelse	Vi havde en idé om, at man viste sandheden ovre i biografens mørke .. vi troede på Batman og Robin Hood og Zorro og Klokkeblomst, uden anfægtelser overhovedet	Hun .. betjener sig af den snigende racisme ved at mistænkeliggøre en forskers arbejde gennem anfægtelsen af hans danskhed	0
anføre	På de pærer, vi bruger til belysning i vore stuer, er der anført et watt-tal	Under debatten blev det anført, at man kunne lette arbejdspresset i forvaltningerne ved ikke at gøre alle henvendelser til en sag	0
anfører	hun var udnævnt til anfører for oprøret	Forsvaret, godt styret af anfører Steen B. Andersen, er efterhånden blevet en fast, sammentømret enhed	0
angive	De mest forhadte danskere under besættelsen var stikkerne .. De havde angivet frihedskæmpere til tyskerne	de mange stolper .. stod spredt ud over isen og angav, hvor de forskellige fiskehuller var	0
angreb	jeg var bange for, at en af stjernerne i angrebet ville få til opgave at neutralisere mig	Grupper af unge tyskere gik til angreb på et asylcenter og på forbipasserende i fire byer i det tidligere Østtyskland	0
angribe	Så tog han et skridt frem mod hende og krummede sig sammen som en tiger, der er parat til at angribe sit bytte	Julestemningen manglede i Farum Kirke, hed læserbrevet der angreb gudstjenestens form og indhold	0
angribe	Tuberkulose er en bakteriesmitte, som kan angribe flere organer, men hyppigst lungerne	Sølv angribes også af de svovlforbindelser, der er i luften	1
angst	Jeg er bange, hvisker Simone og omfavner Tom. I angst knuger de sig ind til hinanden	de tænder ikke bålet af angst for, at røgen skal røbe dem	1
animation	Videoskolen i Viborg vil etablere en uddannelse i animation -- tegning af billeder til tegnefilm	det danske studie har påtaget sig at lave 11 minutters animation til filmen	0
anke	Han udbad sig betænkningstid med hensyn til en anke af dommen	Og en anden anke: Ved lav fart høres benzinpumpens tikken fra tankområdet alt for tydeligt	0
ankermand	rytmegruppen med bassisten Christian Celinder som den egentlige ankermand fungerer udmærket	En meget talentfuld oplæser, Pia Stuckert, var ankermand i udsendelsen, der bestod af solide regionale nyheder og reportager	0
anklage	For en kærlig moder er en søns anklage det allerværste der kan hænde	Sagen begyndte i går i Østre Landsret, hvor en nu 22-årig mand står anklaget for at have kvalt kvinden	0
