form	sentence_1	sentence_2	label
bestilling	forleden fik vi en bestilling på otte billetter fra Santiago i Chile	Der vil dog være åbent i billetkontoret daglig fra kl. 17-20 til bestilling og afhentning af bl.a. arrangementsbilletter	0
besøge	hun giver ham sit telefonnummer i håb om, at han vil besøge hende en dag	vi skal hjem og besøge mine forældre sidst på ugen	1
betonblok	Overalt flyder det med betonblokke, jernstænger, flasker og dåser	menneskene .. forvistes til omegnskommunernes betonblokke, hvor de rekreative muligheder var parkeringspladserne, centeret og motorvejen	0
betroelse	drengen .. havde svoret aldrig nogensinde at fortælle betroelsen videre	hendes ligefremhed opfordrede ham til betroelse	0
bevinget ord	Spørgsmålet Er De forvirret? blev et bevinget ord, da Skum (Soap) omkring 1980 leverede en tilintetgørende parodi på de vidtløftige soap operas	Der er en der gerne lige vil sige et par bevingede ord i anledning af formandens tredive års jubilæum	0
bevis	Da Karsten kommer under mistanke for at være morder, er det Helga, der skaffer de beviser, der frikender ham	Udgravningerne viste kun rester af et bondesamfund, intet bevis for en handelsby	1
bevæge sig	Endelig er klokken ti, og de begynder langsomt at bevæge sig over mod perronen	På en række områder bevæger dansk økonomi sig i en positiv retning	0
billard	Det store billard er fra o. 1870, nylig restaureret og udstyret med nyt klæde	De, der tror, at billard kun er noget, som dyrkes af mænd rundt omkring på værtshuse, tager grundigt fejl	0
bind	Jeg blev kørt væk i en stor, sort bil. Fik bind for øjnene, da vi havde kørt en blok eller to, men kunne hele tiden høre lyden af gaden	Du har sikkert tusinde spørgsmål, når du har fået menstruation. Et af dem er sikkert: Skal jeg bruge bind eller tamponer?	1
binde	Han bandt hendes hænder på ryggen, så hendes fødder, og endelig strammede han rebet om hendes hals	Når din tomatplante er 30-40 cm høj, skal den bindes op	1
bispesæde	det er ingen Jern-Henrik, der flytter ind i det splinternye bispesæde i Hasseris	bispesæde, kirker og klostre ejede næsten al jord i de fjorde, hvor de lå	0
bjergkrystal	Enkelte bjergkrystaller, smaragder og andre ædelstene opbevarer han fordelt i små glas med skruelåg på	Ikke ret langt fra Bagdad har man .. fundet et forstørrelsesglas, der er lavet af slebet bjergkrystal for 2.800 år siden	0
blande 'op	tørmælk er et koncentrat, der blandes op med vand	Spil noget musik for eleverne. Noget af deres egen musik, blandet op med Debussy og Vivaldi	0
blande 'sammen	i medierne bliver bioteknisk gensplejsning, rugemødre og reagensglasbørn blandet sammen i en stor pærevælling	Chokoladen smeltes i vandbad .. og blandes derefter hurtigt sammen med de piskede æggeblommer	0
blank	Vel havde han lagt an på Tove, men i blank tillid til at han ikke kunne få hende	12 stemmesedler var blanke	0
ble	det var Huberts mor, der skiftede bleen på ham, for det med at lave og tisse syntes hans far var noget ulækkert noget	Det var før papirbleernes tid, og jeg kogte bleer og trøjer i en stor kedel hver dag	1
blikspand	Trætjære leveres i 5, 10 eller 20 liter blikspand	bussen var en gammel blikspand med en knallertmotor i	0
blæse	Broderens hus var styrtet sammen, og taget blæste væk	I nat blæste det, det rev i buskene og i birkens nye blade	0
bo	Der bor ca. 40 millioner mennesker i Burma	Agrippa havde en hemmelighed. Det var et firben. Det boede under hans seng	1
bortføre	Peter den Stores rav-kammer .. blev bortført af tyske tropper fra et slot ved Leningrad under krigen	Militante muslimer bortførte søndag en israelsk soldat på Vestbredden	0
brandert	Jeg gik ud og spædede branderten op med den halve flaske snaps, jeg havde gemt	Seks branderter fik lov at overnatte i detentionen	0
bringe	Tanken om Leon bragte blodet op i hendes kinder	Et års nabostrid bragte mig i går på skadestuen og tvang mig til at blive hjemme fra mit arbejde	1
bro	I marts 1936 blev der fremsat planer om en bro over Storebælt fra Korsør over Sprogø til Nyborg	Kaptajnen kommer frem på broen og gør honnør	0
brombær	Her havde Dalle og jeg mange gange gået og plukket brombær om efteråret	hækken ind til naboen .. er en tæt bevoksning af brombær og vilde hindbær	0
brud	Myrteplanten er symbol på brudens løfte om evig troskab	vandet har flydt gennem gaderne fra oversvømmede løbebrønde eller fra brud på vandledninger	0
bruge	Fåre- og gedemælken blev brugt til at lave ost af og til at drikke	jeg skal bruge computeren til tekstbehandling	1
brus	I et brus af ny-borgerlig optimisme blev ideen om privatisering markedsført hårdt af Poul Schlüters nye firkløverregering	da de vågnede om morgenen kunne de tydeligt høre brændingens voldsomme brus	0
bryde	bogen er et folkeligt værk og samtidig et stykke romankunst, der bryder grænser	for børn generelt er det .. godt at bryde en stillesiddende dag med bevægelse	0
bryllup	typografen konstaterer hurtigt, om der er bryllupper eller floder i satsen	det bliver et romantisk bryllup med hvid brud, ringe i kirken, hestevogn og bryllupsfest om aftenen	0
bryst	Stolthed fyldte Kristoffers bryst	Hjertet bankede i hans bryst	1
brænde 'over	Når man anbringer de sammenbundne magneter på bordet og brænder sytråden over, vil de rulle fra hinanden	Strømmen bliver .. så stærk, at sikringstråden brænder over og afbryder forbindelsen	0
bue	der var en fandenivoldskhed over spillet, når bue og fingre for rundt på celloen	Han gik foroverbøjet, altid bevæbnet med bue og pil	1
butterfly	Han var i hvid skjorte med butterfly, og hans hår var fedt af brillantine	Mette Jacobsen .. satser på en personlig rekord i 200 m butterfly på søndag	0
bygmester	Vi sætter atter penge og forhåbninger i fritidshuse. Nogle bygmestre har dobbelt så mange ordrer i bogen som sidste år	Bygge af sten kunne vi ikke i oldtiden. Vore første stenkirker blev rejst af fremmede bygmestre	0
bygningsfejl	det er muligt at korrigere for langsynethed og bygningsfejl	hans knæled var deforme -- en bygningsfejl han havde efter faderen	1
bytte	Hun er så inderlig træt af mænd, som regner hende for et let og taknemmeligt bytte, bare fordi hun er skilt	bag facaden var jeg et bytte for en utrolig angst	1
bånd	Rul marcipanen ud til et bånd og læg det rundt om kagen	han får lov til at hjælpe sin far med at sømme bånd på fastelavnstønderne	0
båre	To sygepassere kommer løbende langs kajen med en båre mellem sig. På båren ligger en halvt tildækket mand	der var en sådan trængsel, at man kun med nød fik kisten båret ind i den dunkle kirke og varsomt sat båren på dens plads i koret	0
calcium	Mælk, surmælksprodukter og ost giver først og fremmest calcium, protein samt A- og B-vitaminer	Lad os se, hvorledes metallet calcium kan binde sig sammen med ikke-metallet fluor	0
centrere	Du kan centrere teksten, eller sætte et afsnit højre- eller venstrestillet	pigerne .. indgår i rollelege, hvor rollerne centrerer sig om de nære relationer og intimiteten	0
centrum	En klynge bambus .. overlevede i centrum af atombombens nedslag i Hiroshima	Med centrum et sted på denne rette linie tegnes en cirkel	1
chance	Landboforeningerne øjner en historisk chance for at få afskaffet jordskatten	Leonards eneste chance for sejr lå i en knockout	1
cykeltur	Vi havde aftalt, at vi skulle på cykeltur og overnatte på vandrerhjem	Jesu vej til Golgata kaldes smertens vej. Det døber jeg også min halv time lange cykeltur ud mod Sydhavnen	0
dam	Det bedste du vidste var, når I spillede dam	I dalen under slottet ligger damme med gyldne karper, snadrende fjerkræ, svaner i morgentåge	0
dans	Johanne blev igen budt op til dans. Hun hvirvlede ud på dansegulvet. Rundt og rundt	dansen går til den nyeste musik	1
dansk	Jeg har altid interesseret mig meget for det danske sprog, dets brug og dets udvikling	Det er umuligt at færdes ret længe i det danske landskab uden at få øje på en eller flere landsbykirker	0
dejlig	Svend Erik og Kirsten Hansen havde et dejligt bryllup i Frederiksværk	Det er vel nok dejligt at se dig igen!	1
deklaration	Der er masser af papirarbejde .. Man skal oplyse varelager og sende deklarationer til toldvæsenet	Skriftet indeholder en deklaration fra hver religion og trossamfund om deres menneske- og naturopfattelse	0
detronisere	Margaret Thatcher, detroniseret britisk premierminister, er ikke nogen lykkelig pensionist	Kampen om VM-bronzen mellem de detroniserede verdensmestre .. fik et særpræget forløb	0
dimension	Tre grupper og tre solister dystede i den spændende finale, som blev et show af dimensioner	Bøgetræsstolen, som kan indstilles helt efter sin brugers dimensioner, koster 995 kr.	1
direkte	Hun er stædig, bestemt og direkte -- Ulla ved, hvad hun vil	Jeg var flov over, at han talte så direkte om, at vi gik i seng sammen	1
dissekere	For 500 år siden hentede en flamsk læge lig på kirkegården, dissekerede dem og beskrev menneskets anatomi	så snart noget føles rart, skal det bores i og dissekeres, indtil man kan finde ud af, at det ikke er noget værd	0
domstol	Dansk Ishockey Unions permanente domstol har til dato modtaget ikke færre end 16 indberetninger : om spilleres forseelser	Det er .. ikke meningen her at lave kritiske studier af Holbergs kilder og hans brug af dem eller stille ham for historieforskningens domstol	0
drabelig	han kan kun tage små, små skridt i de drabelige snabelsko	Kaskelotten har ofte ar, der vidner om drabelige kampe nede i dybet	0
drag	han gav ham endnu et drag over skuldrene, ikke så lidt hårdere end før	Uden at spørge mig skænkede han en snaps op og stak glasset i min hånd. Jeg tømte det i ét drag	0
dreje	Uvilkårligt trådte far på bremsen og drejede samtidig skarpt til højre	Vejen drejede brat, det gik ned ad bakke	1
drikke	i Sverige er der på tjenesterejser 470 svenske kr. til mad, drikke og lommepenge	I Danmark er det moderne at drikke kildevand. For så er man både sund, rig og på vej frem	0
drikkeri	På denne arbejdsplads er drikkeri i arbejdstiden fyringsgrund	jeg skulle skjule drikkeriet for mine forældre og tog indmaden ud af en gammel radio, som jeg fyldte med øl	0
dryppe	da hun åbnede hånden, var de fine bær mast, og røde dråber af saft var dryppet ned på hendes sko	Hun rejste sig dryppende og skælvende op i badekarret	0
drys	Hvis du har kløe i hovedbunden, og hvidt drys fra håret -- så har du ikke skæl -- men tør hovedbund	For dem er det ingen selvmodsigelse, at tamilsk karry-kylling ikke indeholder et eneste drys karry	1
drysse	Hvor skulle hun gå hen? Hun kunne ikke bare drysse rundt i gaderne indtil hun skulle på salonen	Forleden søndag kom du dryssende hjem langt ud på natten	1
dukke	han dukkede hovedet under den lave dørkarm og trådte ind i køkkenet	nogle gange, så sidder jeg og leger med dukker sammen med min lillesøster	0
dut	de indspillede i 1986 sangen På med dutten Danmark, der blev til i forbindelse med AIDS-kampagnen	svaret var optagettonens hurtige dut	0
dyb	Kaj bliver begravet i dybeste stilhed	Efter et sving befinder vi os pludselig på kanten af en dyb kløft, der fører ned til en grøn slette	0
dykke	falken kan dykke med en hastighed på op til 300 km i timen og fange sit bytte i flugten	Koncernens omsætning dykkede helt ned til 2065 mio. kr., hvilket er godt 350 millioner mindre end i 1986	1
dæmpe	en mørkerød løber dæmpede hendes skridt	I en biograf dæmpes lyset langsomt ned, når filmen skal begynde	1
dø	Rosalie blev anbragt på børnehjemmet som 9-årig, da hendes mor døde af sukkersyge	Anita har haft to aborter og én søn, der døde vuggedøden i en alder af 3 mdr.	1
død	Efter Sankt Nikolaos død, blev der bygget en kirke over hans grav	1980erne blev opløsningens årti mod øst og bragte kommunismens død	0
efterlade	et kompliceret åbent benbrud .. har efterladt grimme ar på venstre skinneben	Den tropiske olie spredes nemt på huden og efterlader den silkeglat og blød	1
eksklusivaftale	Den lokale SiD-afdeling har måttet acceptere, at der ikke er nogen eksklusivaftale, men total organisationsfrihed	omkring 200 skoledistrikter har lavet eksklusivaftaler med sodavandsfirmaer om at sælge deres, og kun deres produkter i skolen	0
emblem	Motivet : på frimærket er en globus samt den egyptiske bogorganisations emblem over en åben bog	Der blev lavet klistermærker til bilruden og et emblem til at sætte på tøjet	0
endelig	Hun er i dyb krise efter det endelige brud med Alan, som hun har levet sammen med i ni år	en endelig beskrivelse vil aldrig kunne beskrive en uendelig verden	0
energi	Er du i psykisk balance, og har du det godt med dig selv, vil din krop være levende og fuld af energi	Ved nedbrydning af næringsstofferne i de enkelte celler frigøres den kemiske energi, som er bundet i de molekylære bindinger. Energien bliver .. omsat til kropsvarme eller kropsarbejde	0
engel	Politikerne er jo hverken engle eller djævle. Men fredelige, sympatiske mennesker	Alle engle er jo kun tjenende ånder, der sendes ud for at hjælpe dem, som skal arve frelsen	0
enmandshær	Han satte seks mål ind i første halvleg, hvor han nærmest var en enmandshær for Århus GF	Som en administrativ enmandshær var han konstant på rejser rundt i verden for at knytte kontakter, samle oplysninger og lægge pres på regeringer og mæcener	1
erhverv	føler du sygeplejegerningen som et erhverv eller som et kald?	Jeg har haft fire forskellige erhverv	1
erstatning	Størrelsen af erstatningen afhænger af følgerne af ulykkestilfældet, også kaldet méngraden	Jeg kræver 2,4 millioner kr. i erstatning for mit amputerede ben	1
fabrikat	Vort koncept er at sælge jeans i alle prislag, i mange forskellige fabrikater og i alle faconer	Hjemme hos os fik vi TV midt i 60erne, og den første model var meget passende et dansk apparat af fabrikatet Jensen	0
faglærer	Karakteren gives af faglæreren og en udefrakommende censor	varig ansættelse af ingeniører, håndværkere og kunstnere som faglærere i folkeskolen på bekostning af seminarieuddannede lærere	0
falangist	Viftende med Francos spanske flag .. og iklædt røde baretter og falangisternes blå skjorter er de trofaste kommet for at mindes el Generalisimo	De libanesiske falangister kontrollerede under borgerkrigen store dele af det nordlige Libanon	0
fald	Revolutionen i Petrograd i marts 1917 førte til tsardømmets fald	kvinden var gledet i den frosthårde sne og havde slået hovedet i faldet	0
famle	usikre og rastløse småbørn .. famler sig frem for at få tag i de voksne	når vi ser flygtningene stå famlende overfor vort livsmønster og vort sprog -- så kniber det alt for hurtigt med gæstfriheden	1
fantasteri	enhver bliver regnet for fantast, inden hans drømme går i opfyldelse. Al succes begynder som fantasteri	chikanen var udslag af et sygt menneskes fantasterier	0
farlig	Hønsene laver en farlig ballade, da Knud og Jens træder ind til dem	han kunne jo sagtens klare sig når han havde en farlig fin eksamen	1
farve	mest så man ham på stranden, hvor han stod og smurte farver på et lærred	Oliepastelkridt er en fed og blød farve, som er stærkt afsmittende og meget dækkende. Farven smuldrer og knækker let	1
farve	Malingen var slidt af så alle de forskellige farver døren havde haft kom til syne	Det er en meget moderne fotokopi-maskine, som laver flotte fotokopier i farver	1
farvebånd	Isaksen løftede dækslet på den elektroniske skrivemaskine og stirrede begejstret på kassetten med farvebåndet	bredt rundede, sorte både med hvide master og stærkt lysende farvebånd om bugene	0
fase	Hvis bølgebevægelserne i hvert punkt har samme fase vil interferensen forstærke bølgebevægelserne	modsat fase vil svække disse	1
fastpris	Softwarekontrakter og de forskellige afregningsmetoder er et uhyre komplekst område. Skal der afregnes efter forbrug eller fastpris?	Der blev spurgt til gasprisen i relation til den meget høj oliepris over 50 $, hvortil det blev oplyst, at der er indgået kontrakt med fastpris for hele 2004 / 2005	1
favorit	hun er regnet blandt favoritterne i damesingle	Eeva Kilpi er Berlingske Tidendes favorit til Nordisk Råds store Litteraturpris	1
fedterøv	Er I tilfredse med at gå i jeres skole? -- Jah, kom det syngende fra hele klassen. Den fedterøv til Birger sang selvfølgelig højest	Der var også for lidt lys i stuen her. Han sparede vel på petroleumen, den fedterøv	0
fejl	Han lavede faktisk ikke en eneste fejl i hele kampen	Han var et enestående og godt menneske, men han havde én stor fejl -- han kunne ikke sige nej	0
fersken	Eksotiske blomster og farver som paprika, fersken og karry gik igen i modeopvisningen	Ved sydvendte mure plantes fersken, abrikos, figen, druevin og måske en varmekrævende pære	0
finde	Retten fandt det bevist, at han selv havde stranguleret sine to koner	Udbetalt arv fandtes at måtte betragtes som formue	1
flagre	Den ternede skjorte flagrede efter ham, da han løb	Landsbyens smukke, unge, kvindelige postbud flagrer forbi i sin sommerkjole	1
flertal	Tilsammen kan de to partier mønstre et flertal i byrådet	Loven blev vedtaget med to tredjedeles flertal	1
flette	i Torvegade skal bilisterne fra Amager flette fra to til én vognbane ved kørsel mod Knippelsbro	et uigennemtrængeligt net af lianer og tynde grene .. flettede sig ind i hinanden	0
flirt	Bogen, der har tillidsrepræsentanter som primær målgruppe, beskriver forskellen på flirt og sexchikane	Hun er en god flirt, og selv om øjnene ikke var fremhævet af fed eyeliner .. så kunne man helt ned i salen skimte glimtene i dem	0
flodbølge	Når vandet stiger, fører flodbølgen sand og ler med ind i Vadehavet	Der er udsendt varsler om en flodbølge som følge af det kraftige jordskælv til såvel Taiwan som andre lande i området	0
flugt	uglens flugt er så lydløs, at den overrasker mus og griber dem med kløerne	Nærved 400.000 er på flugt fra det borgerkrigshærgede land, hvor den kommende vinter truer med sult, sygdom og død	0
flyve	amerikanske tropper er blevet bedt om at .. flyve nødhjælp til Sarajevo	SAS opgav i marts at flyve mellem Århus og Oslo	0
flyvsk	Rockstjernen Tore Aagesens flyvske drømme om berømmelse og det helt store hit endte i går i nedtur og en trang celle i arresten	naboens bil har fået buler i taget efter en af mine flyvske tagsten	1
fløjte	Ovre fra værftet tuttede fløjten til middagspause	Slangetæmmeren kiggede igennem sin fløjte og fandt den i orden	1
fod	Telefonen har jeg monteret på en lille stander med fod, som jeg har lavet af teaktræ	Manden i huset er i færd med at sætte juletræet på fod	1
fold	Vi har i dag højere udbytter. I år har vi haft 27 fold i byg og 30 fold i rug	jeg havde nydt de skarpe folder i hendes nyrullede lagner	0
forbinde	Baderummet lå på første sal, lige når man kom op ad den store stentrappe, der forbandt de to etager	Anglo-Mediterranean Telegraph Co satte sig for at forbinde Malta og Alexandria med et søkabel	0
foreskrive	Den diæt, som lægerne havde foreskrevet ham, ville han ikke holde	Reglerne foreskriver .. at checks og legitimation ikke må opbevares sammen	0
forfald	Det påhviler .. kursusstedet at give meddelelse til amtet, hvis kursisten ophører med undervisningen uden lovligt forfald	når sønnen Filip har forfald, træder Søren til som kirkesanger	1
forhøjelse	Når lønmodtagerne har været i en styrkeposition, så er styrken blevet brugt til at sikre store forhøjelser i pengelønnen	stress, overdreven alkoholindtagelse og overvægt kan medføre forhøjelse af blodtrykket	0
forklæde	Her er ikke nogen der ligner Peter -- har han forklædt sig?	Røverne var forklædt som håndværkere i arbejdstøj	1
forme	I skulpturværkstedet på Brandts Klædefabrik kan man under kyndig vejledning lære at forme figurer i gips	det blev alligevel scenen, som kom til at forme hendes tilværelse	1
formidabel	Bertel er en formidabel sangskriver med stor fornemmelse for rim og rytmer	TV-selskabet Westinghouse vovede pelsen og har siden scoret en formidabel formue på tegneserien	0
fornemmelse	smerterne er som regel ledsaget af en fornemmelse af udspilethed	Hverken bønner, besværgelser eller kolde afvaskninger kan fjerne seksuelle fornemmelser	1
forplumre	Grundvandsspejlet synker, drikkevandet og havene forplumres og forurenes	udstillingen bliver for omfangsrig og forplumrer indtrykket af det, der har kvalitet	0
forrider	Enhver forbedring og reform har mange forridere	På vejen .. er der livlig færdsel af et par ryttere som forridere for herskabets landauer	0
forsegle	Han smeltede hurtigt en klat lak, forseglede brevet, og da lakken var blevet kold, foldede han omhyggeligt pergamentstykket sammen	døren blev forseglet og .. der blev sat en vagt ved den	1
forsorg	Birgitte blev blind, mens hun lå i kuvøse, og har levet sit liv under forsorg	Problemet med de gamle og invalide blev overladt til familiens forsorg	0
forstudium	Det, jeg havde læst, var et forstudium til medicin-studiet	Göteborg vil da også selv finansiere et forstudium om mulighederne for at gennemføre OL-planen	0
forstumme	Stille tordner sognepræsten, og folk forstummer	Lyset slukkes i den store sal, og al tale forstummer. 600 unge fans flokkes tavse om scenekanten	0
forståelse	der føres en samtale på tysk, der prøver eksaminandens forståelse af teksten	At få tydet min aura gav mig en større og dybere forståelse for, hvem jeg selv er	1
forstærke	det er .. et gedigent skib, lavet af solidt egetømmer forstærket med 2 mm kobberplader	Socialdemokratiet har forstærket presset mod skatteministeren ved at true med at blokere for en skatteaftale	1
forstærkning	Foran og bag er der stødabsorberende zoner, og dørene har forstærkninger	Hørsholms 1. divisions damehold får i år forstærkning af Hana Zarevucka	0
forsvinde	Røveren forsvandt ad Viborgvej i en hvid Opel Ascona	Taxaen forsvinder i regnen	1
forsyning	Nye forsyninger af nødhjælp ventes pr. skib .. sidst i november	elselskabet NESA er berettiget til at afbryde forsyningen, når konstaterede fejl og mangler ikke udbedres	0
forvirring	Diskussionen indeholder megen forvirring af begreberne	efterhånden som det første chok fortog sig, veg forvirringen i mit hoved for en næsten urimelig klarhed	1
fosse	Det er ufatteligt, at skatteministeren blot vil se på, at pengene fosser ud af statskassen	tagrenderne løber over og vandet fosser ned over muren og beskadiger den i løbet af vinteren	0
foto	Jeg satte mig med en god kop kaffe for at gennemse gamle fotos fra en ferie på Kreta	jeg prøvede at vælge drama og foto, det er noget nyt, der er kommet ovre på skolen	0
frede	Som tak for den amerikanske håndsrækning udsendte partisanerne en erklæring om, at de fremover vil frede amerikanske bygninger og personel i El Salvador	i 1967 blev grævlingen og de øvrige jagtbare rovdyr fredet i yngletiden	0
