form	sentence_1	sentence_2	label
afbalancere	Plastposen anbringes på en skålvægt som afbalanceres med lodder	hun smiler meget og til alle. Hun virker robust, afbalanceret	0
afbilde	For at få et godt overblik over sammenhørende variable, afbilder man dem ofte i et koordinatsystem	Røde Kors generalsekretær Eigil Pedersen er afbildet på det 8 x 12 meter store maleri	0
afdeling	Fra spisestuen har man et fint kig ind på endnu en spiseplads, nemlig en lille afdeling i dagligstuen	det med bleer og sutteflaske bliver ikke helt min afdeling, griner Ole Eskildsen	1
afdrag	Kontokortene er overtrukket og afdragene på banklånene er ikke betalt. Så siger banken stop	forhandlerne har kunnet sikre nye vilkår for afdrag af landets kæmpegæld	0
affald	Da meget af affaldet er emballage, burde man måske, for at begrænse omfanget af affald, afskaffe emballagen hvor det vil være muligt	Staten regner med at affald, halm, træ og biogas skal dække ca. 7 % af energiforbruget i år 2010	1
affotografering	jeg har fået lov at låne adskillige billeder og stik og dokumenter til affotografering	hans billede er .. ikke en original, men en affotografering	0
affyre	Fra bilen blev der affyret fire-fem skud med haglgeværer mod ejendommen	de prøver at overgå hinanden i kunsten at affyre friskfyragtige replikker	0
affære	På baggrund af blandt andet .. affæren omkring 6. Juli Banken stiller SF i næste uge forslag om en stramning af loven om revision	Weekendens TV blev en broget affære, hvor vi blev præsenteret for et varieret udbud af programmer	1
afføring	Jeg kender en fyr som i den sidste tid har haft blod i urinen og afføringen	Man skal vælge et fast dagligt tidspunkt til afføring, bedst efter et stort måltid	0
afgang	SAS sætter en ekstra afgang ind mellem København og Genève	Allerede før hun tog afgang fra Skolen for Brugskunst, udstillede hun på Charlottenborgs forårsudstilling	0
afgift	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	Palle Simonsens forslag om afgifter på dåbsattester m.v. falder ikke i god jord	0
afgive	At afgive blod eller sæd, det kommer for mig ud på et. Blod redder liv. Med sæd skabes liv	Taberne : i en krig må afgive magt og land	1
afgive	EF-Unionen drejer sig om, at Danmark .. kommer til at afgive suverænitet til EF. Derfor skal der stemmes NEJ	Afhøringerne sker bag lukkede døre indtil den finske kaptajn afgiver forklaring på tirsdag	0
afgivelse	Venstre var irriterede over afgivelsen af finansministerposten i 1984	et stof overgår fra flydende til fast tilstand under afgivelse af varme	0
afgrund	chaufføren satte kursen direkte imod en afgrund, der åbnede sig flere hundrede meter lodret ned ad bjerget	denne afgrund mellem viden, moral og handling er desværre et tidstypisk tegn	0
afgrøde	I mere end 4.000 år har agerbrugere forbedret jordens vækster for at opnå bedre afgrøder	Til afgrøder som korn, kartofler, kål og frugt anvendes kunstgødning og sprøjtemidler	0
afgud	trods alt var det næppe i Fritz Clausens skikkelse .. K.U.erne så deres åndelige afgud	I ved, hvordan I viljeløst blev drevet med til de stumme afguder, dengang I var hedninger	0
afgå	Rådets medlemmer vælges for to år ad gangen således at halvdelen afgår hvert år	så afgik jeg altså fra Holmen for to år siden til Forsvarskommandoen	1
afgøre	Det er domstolene der afgør spørgsmålet om forældremyndighed, hvis ægtefællerne er uenige	i weekenden skulle det hele afgøres. Sommerferiens rejsemål skulle vedtages uigenkaldeligt	0
afholde	Byrådet afholder i 1984 møde den 2. onsdag i hver måned	Amtskommunen afholder udgifterne ved undervisning af indvandrere	0
afkalke	mange læger behandler kvinder med en lille smule østrogen for at forhindre, at knoglerne afkalker	kaffemaskinen .. blev afkalket med eddikesyre	0
afkrog	Nu var de havnet i en afkrog, hvor intet skete. Her ville de kede sig til døde	Erotica 2000 rusker op i tabuer og kommer rundt i de dunkleste afkroge af seksuallivet	0
aflad	Beløbet : til et barn i et udviklingsland kan jo også betragtes som en slags aflad for dengang Danmark drev slavehandel	Særligt harmedes Martin Luther over den aflad for synder, man kunne købe sig til	0
aflade	Da en bils lygter .. bruger meget strøm, kan en bilakkumulator hurtigt aflades, hvis man glemmer at slukke lyset	Lejemorderen afladede den bedagede Colt og tog de tomme hylstre ud	0
aflede	kulbrinter betragtes som grundtyper hvoraf andre organiske forbindelser afledes	Ordet intelligens kommer fra latin og er afledt af verbet intelligere at forstå	0
aflejring	De øverste jordlag vil ofte bestå af aflejringer med et indhold af organisk stof	Længere tids overdosering med jerntilskud kan føre til aflejring af jern i vævene	1
aflevere	På apoteket kan du selv aflevere dine sorterede medicinrester	En dygtig skuespiller afleverer ikke bare teksten, men er selv den rolle, der spilles	0
aflevere	Fra en urokkelig førerposition risikerer Næstved at måtte aflevere førstepladsen til AGF	Danyard i Aalborg afleverede i går Standard Flex-fartøjet Gribben til Søværnet	0
aflevering	I løbet af få timer vil manuskriptet være klar til aflevering	om gymnasieelev: Hendes noter og afleveringer er en fryd for øjet	0
aflægge	Den mandlige leder kan med fordel aflægge sin bøse facon, hvis han vil have et godt samarbejde med sine kvindelige medarbejdere	man forventede, hun aflagde sin katolske tro til fordel for sin kommende ægtefælles	1
aflægge	I året, der er gået siden museets åbning, har mere end en million mennesker aflagt det besøg	Varmeregnskab skal aflægges inden 4 måneder efter regnskabsperiodens afslutning	0
afmønstre	Jeg har besluttet mig til at afmønstre. At gå i land. Jeg har allerede meddelt rederiet det	Udlændinge, der som besætningsmedlemmer på skibe eller fly ankommer til dansk havn eller lufthavn, skal ikke melde sig til paskontrol, medmindre de afmønstres	0
afpresse	To unge mænd, der sigtes for at have afpresset en 41-årig handicappet skabsbøsse, fik i går forlænget deres varetægtsfængling	under den afsluttende debat blev ministeren afpresset et tilsagn om at sikre en ny ansøgningsrunde fra interesserede institutioner	0
afrejse	de afrejsende trak sig nølende tilbage op over landgangsbroen	Rigtig god rejse, Katrine! Madam Thomsen gav Katrine et knus inden afrejsen	0
afsige	På valgdagen afsiger vælgerne dommen over byrådene	Som på kommando afsiger loge-brødrene en hemmelig ed	0
afskrivning	Lovforslagene omfatter emner som hurtig afskrivning af højteknologisk udstyr, der hurtigt bliver forældet	hun gjorde et stort og meget dygtigt arbejde med afskrivning og redaktion af de vanskelige tekster	0
afskum	Forbryderne, det værste afskum fra Marseilles og Norditalien, er her også : til Cannesfestival	De er intet uden et usselt, oprørsk afskum, rasede Bülow	0
afsky	lugten af bacon vil vække appetit hos en dansker, men afsky hos en muhamedaner	Vi vender os med afsky mod krigen i al dens gru	1
afskære	en anordning på busserne afskærer benzintilførslen, når de når hastighedsbegrænsningen	Vi kan ikke afskære folk fra at sige deres mening	0
afskære	Han og hans lillebror var under alle krigsårene afskåret fra forældrene, som boede i den anden ende af verden	Soldaten spurter af sted for at afskære os vejen	1
afslutning	Eksamensstilen er afslutningen på arbejdet med skriftlig fremstilling	det var som om at OB manglede den sidste snert i afslutningerne	0
afslutning	den 10. juni har vi afslutning .. hvor vi får vores uddannelsesbevis overrakt	Ingen kender den fulde sandhed, konkluderer Rifbjerg i bogens afslutning, og det er så sandt som det er sagt	0
afslutning	regeringen forventer, at denne sag hurtigt bliver bragt til afslutning	De baltiske lande var fra 1700-tallet og frem til afslutningen af den 1. verdenskrig provinser i det russiske imperium	1
afslutte	Aftenen afsluttes med kaffe og lagkager	Det vil lette rummet, hvis I kun sætter tapet op 140 cm over gulvet, og så afslutter med en bordeaux træliste	0
afslutte	jeg afslutter det huslige arbejde med at støvsuge gulvene	Henriette afsluttede sin skolegang med studentereksamen	1
afsløre	han .. tog parykken af og afslørede et skaldet hoved	Kronprins Frederik afslører 5. maj en bautasten i Rebild Nationalpark	0
afsløring	B.T.s afsløringer af lønvanviddet i EF får nu ledende danske politikere til at reagere	den lille kreds af indbudte .. skulle overvære afsløringen af en mindeplade	0
afsnit	Gudstjenesten kan deles op i to afsnit. Den første del er ordets gudstjeneste .. Den anden del er nadveren	Det første samleje bliver måske en dejlig oplevelse, fordi du er sammen med den, du holder af, og fordi I sammen har indledt et nyt afsnit i jeres liv	0
afsnit	kvinderne gik gennem deres egen port, og de deltog afsondret i deres eget afsnit i moskéen	Hvert afsnit : i artiklen skal danne sin helhed med sin afslutning, således at redaktionschefen kan klippe artiklen bagfra	0
afstand	brugen af fagsprog skaber en afstand mellem læge og patient	Vi passerede skibene i en afstand af ca. 40 meter	0
afstå	jeg mener, at man er på vildspor, hvis man bevidst afstår fra at lære dansk, når man vil være i Danmark	Grundejerne ville ikke afstå stykker af deres private grunde til de nye gader, selv om de fik erstatning	0
afsætning	Sanne Olsen, 26, er cand.merc. i afsætning	kildekalk, frådsten: porøs kalkbjergart dannet ved afsætning af kalk omkring en kildes udspring	0
afsætte	Hen mod midten af november havde jeg fået afsat alle antikviteterne, med undtagelse af den ene af guldmønterne	hun står fast på, at Venstres top kunne have valgt en smidigere måde at afsætte hende fra ministerposten på	0
aftage	Dagen er aftaget 10 timer og 12 minutter	hjemmemarkedet har aftaget færre øl fra Carlsberg-bryggerierne i de forløbne seks måneder	0
aftage	temperaturen aftager med 6 ° C for hver km højde	Flammerne aftog, men det glødede stadig	1
aftale	Den fortsatte udvikling af arbejdsmarkedspensionen aftales ved de kommende overenskomstforhandlinger	En veninde ringer, vi aftaler at jeg kommer ned til hende, når jeg har spist	0
aftale	Jeg havde en aftale med ham om, at han skulle vente på mig	Regeringen må leve op til aftalen om at sikre praktikplads til alle unge	1
aftegning	Hjulsporene indskrænkes hurtigt til spredte aftegninger i det stenede landskab	jeg besluttede at beholde den lille sammenkrøllede seddel og min aftegning af dækmønstret	1
aften	Jeg læser og synger altid lidt : for min datter, så er kl. ca. 21 og resten af aftenen er min	På klare aftener begyndte midnatssolen at mærkes, navnlig den dramatiske aftenvending sent på kvælden	1
aftenskole	Mor går på daghøjskole. Far lærer EDB på aftenskole	Næsten samtlige aftenskoler tilbyder undervisning i engelsk, tysk og fransk	0
aftenstid	ved aftenstid var der flere, som skulle hjem og spise	Han .. gik i retning af hendes hus ved aftenstid, ved nattemørkets frembrud	0
aftentime	behovet for hjemmehjælp i aftentimerne og i weekenderne og på helligdage er stærkt stigende	Gru og Gys blev læst med lommelygte under dynen en sen aftentime	0
afvige	Gajdar startede reformpolitikken, og Jeltsin har tilsyneladende ikke tænkt sig at afvige mere end højst nødvendigt fra planen	Kontantværdien vil ofte afvige fra ejendommens pris i prioriteret stand	0
afvigelse	den almindelige forståelse for seksuelle afvigelser i den danske befolkning er blevet større	Måleraflæsning foretages almindeligvis en gang om året, men afvigelser fra denne regel kan forekomme	0
afvise	Asylsøgere kan afvises ved grænsen, hvis de kommer fra et sikkert land	sagen er undersøgt, og påstanden kan blankt afvises	0
afvæbne	jeg kender få, der som hr. Arne Melchior på en charmerende og afvæbnende måde kan aflevere en undskyldning	Hendes øjnes blus afvæbnede ham igen, så det blev ikke til andet end en lille udvandet gardinpræken	1
afværge	Det lykkedes for betjenten at afværge knivstikket mod hovedet, men han blev ramt i armen	De praktiserende læger og amterne indgik sent i nat forlig. Og en konflikt på lægeområdet er hermed afværget	1
afværge	ved kollisioner kan en airbag afværge alvorlige læsioner i hoved og bryst	Fru Baumann nipper til sin mokkakop, men løfter samtidig venstre hånd for at afværge et spørgsmål	0
agent	Der er store profitter at hente ved .. sundhedsskadelige agenter som f.eks. alkohol, tobak	Poul Jahn har handlet med Sovjet i 32 år .. i dag er han agent for 13 danske virksomheder	0
agentur	EF-kommissionen ønsker oprettet et særligt agentur, der kun skal beskæftige sig med arbejdsmiljø-spørgsmål	Skandinavisk Motor Co A/S .. har agentur på VW og Audi	0
ager	År for år pøses der gødning ud over de danske agre. Og i stigende mængder	Jorden, overvejende sandmuldet ager, der kan vandes, er samlet ved gården	0
agere	Militært samarbejde handler mindre om hensigtserklæringer, mere om, hvordan man agerer i krig	Tommy Kenter skal spille en stor hovedrolle .., når han agerer Charlie på Nørrebros Teater	0
aggression	USAs nationale interesser dikterer, at den serbiske aggression imødegås med væbnet magt	I december måned skærpes vores aggressioner .. Måneden er for mange en blanding af forceret arbejdstempo, hasteindkøb og julefrokoster	0
ahorn	du skulle have set den vilde ahorn om efteråret! Med blade så røde som en ildebrand	JH 701 hedder den verdenskendte møbeldesigner Hans J. Wegners stol i ahorn og læder	0
akkumulator	Motoren oparbejder olietryk i akkumulatoren, når bussen bremser. Under acceleration tapper motoren olietrykket og bruger det som starthjælp	blyakkumulatoren .. er den akkumulator, der næsten altid anvendes i biler	0
aks	når markerne bliver mere og mere gyldne og kornets aks tungere, så siger vi, at høsten er nær	I akset og klasen springer de nederste blomster ud først, og de øverste åbner sig til sidst	0
akse	Et hjulnav er noget, der sættes på en akse	Til et koordinatsystem hører to akser, der som regel står vinkelret på hinanden	0
aksel	Der benyttes en god glasskærer, hvor skærehjulet løber helt frit på akslen	Kraften fra svinghjulet overføres via en aksel til drejeskiven, hvor det våde ler formes	0
akt	Oehlenschlägers sørgespil i fem akter Hakon Jarl med emne fra norsk vikingetid blev opført til Christian 7.s fødselsdag i 1808	måltidet er jo ikke bare selve denne noksom bekendte akt med at føre føden fra tallerkenen til læberne	0
akt	DDRs sikkerhedspoliti er genopstået som museum i Berlin. Kaj Bruun fandt sine egne akter i arkivet	Det første samleje med Henrik fremstilles som en voldtægtsscene, hvor Jane under selve akten er besvimet	0
aktionsradius	Med en gasturbine som indbygget kraftværk og nikkel/cadmium batterier som strømlager har bilen en aktionsradius på 650 km	den transportable hårtørrer med en plastichætte, hvor varm luft susede rundt, gav husmoderen så stor aktionsradius, som el-ledningen tillod	0
aktiv	et af selskabets betydelige aktiver er en meget stor obligationsbeholdning	Mange unge fædre deltager som en selvfølge i alt husligt og er aktive i arbejdet omkring børnene	0
aktivist	Det er dyrt at lave tv. Det ved de godt på stationen. Derfor satser de på frivillige aktivister	flere hundrede aktivister brød igennem en kæde af specialtropper og stormede en Lenin-statue	0
aktivitet	Han var i aktivitet fra morgen til aften, og hans mor var segnefærdig af træthed, når det endelig var sengetid	I fremtiden vil alle koncernens aktiviteter blive samlet på fabrikken i Frederikshavn	0
aktivitet	De mest populære aktiviteter både på idrætskurserne og familiekurserne er sejlsport, dans, surf og tennis	der har været tidsrum i Jordens historie, hvor den vulkanske aktivitet var mange gange kraftigere end nu	0
aktør	Enhver politisk situation har sine aktører, og disse aktører har bestemte -- mere eller mindre veldefinerede -- interesser	De tre aktører, Ole Ernst, Dick Kaysø og Finn Nielsen har sammensat en underholdende forestilling : en revy	0
akvamarin	foruden de dyre farvestene er turmalin, agat, akvamarin, lapis lazuli og jade på mode	Hele rummet er levende og sitrende elektrisk og pulserer i alle spektrets variationer, ultraviolet og akvamarin og skotskternet	0
akvarium	På sofabordet står et akvarium med guldfisk	Skoletjenestens medarbejder tilbyder materialer i akvariets forhal	0
alarm	jeg lod foretage et mammografi af mit bryst. Der var ingen knude og ingen grund til alarm, og så var jeg jo glad	Der bliver trængsel og alarm i aften på Skovbo Travbane	0
alarm	Jeg tror, alle mennesker har en indbygget alarm, der slår til når man er ved at gøre noget dumt	Da alarmen hylede, tog voldsmanden flugten med hendes taske, smykker og penge	0
albue	han vred sig for ikke at fremvise sine luvslidte albuer	Laust havde stukket Niels en albue i siden, så han rettede sig op i et sæt	0
albuerum	Det gamle tørreloft lå dengang ubenyttet hen, og det gav oplagt mulighed for at skabe mere albuerum og råderet over 100 m²	Giv mennesker med virkelyst og ideer albuerum og store udfordringer	0
alder	At blive skilt i min alder er ikke at blive ensom. Jeg har mange ægte venner	Det frilagte bindingsværk i muren vidner om alderen på ildebrandshuset, der er bygget i 1729	1
alder	Vi lever i en alder, der er præget af en overflod af information	så kigger vi også på nogle forskellige aldre : i undersøgelsen, sådan at vi tager dels børn og midaldrende og så dels nogle ældre	0
alen	Bryggeribygningen var et 88 alen langt og 22 alen dybt hus	under tenniskampen fik Mecir problemer, og omgående voksede Stefan Edbergs selvtillid flere alen	0
alfader	Vær hilset, alfader Odin! Og vær hilset, alle I andre!	gamle Jock står for den alfader, om hvis gunst sønnerne kæmper	0
alkohol	alkoholer: .. Tekn. vigtige er bl.a. metanol, ætanol (alm. alkohol) .. og glycerol	Drikker du alkohol -- rigeligt og stærkt -- risikerer du en akut forgiftning, som kan være livsfarlig	0
alkoholproblem	det er gået op for mig, at min kone har et stort alkoholproblem	Arbejdsløsheden har bl.a. givet sig udslag i visse alkoholproblemer omkring torvet her i byen	0
allergi	Lise har en vis allergi overfor engelsklærere	problemer med at trække vejret igennem næsen kan skyldes allergi, som får slimhinderne til at hæve	0
alliance	Frankrig lægger forhindringer i vejen for en endelig aftale inden for den 16 lande store alliance	Ritt Bjerregaard og Svend Auken har indgået en alliance, der øjensynlig er ubrydelig	0
almindelighed	Som søn af en russisk mor og en polsk far af jødisk afstamning er Druker ikke noget umiddelbart bud på svensk almindelighed	Ingen af dem har sagt stort andet under turen end almindeligheder om vejret	0
altmuligmand	Jeg søger jobbet som altmuligmand ved dette teater, og jeg er villig til at tage ordentlig fat	Han var ganske vist pensioneret gymnastiklærer, men havde altid gået for at være en slags altmuligmand, der både kunne snedkerere og male	0
aluminium	Den meste syreneutraliserende medicin indeholder enten magnesium, aluminium eller kalk	Hver dansker smider hvert år 3 kg aluminium i skraldespanden i form af husholdningsfolie, leverpostejbakker, makreldåser osv.	0
alvor	Efterhånden var jeg nået op i den aldersklasse, hvor livets alvor begynder at udfolde sig	Det er alvor. Jeg skal have penge. Der er en trådløs bombe i posen, sagde røveren til en kvindelig kasserer	1
alvorlig	børnene skal undervises, så De må lære Deres dreng at være alvorlig	vidner i straffesager har givet udtryk for alvorlig frygt for at afgive forklaring	0
amatør	En koncert med amatører på et jævnt teknisk plan kan f.eks. i kraft af musikernes engagement og entusiasme være en større oplevelse end en rutinepræget koncert på højt professionelt niveau	Han forsikrede så, at de ikke ville bære sig ad som idioter eller amatører	0
ambassade	Den danske ambassade i Bagdad prøver igen og igen at få udrejsetilladelse til danskerne	en gruppe demonstranter knuste nogle ruder i ambassaden med brosten	0
ambolt	I mellemøret ligger de små knogler: hammer, ambolt og stigbøjle	Smeden stod .. ved ambolten og slog på et stykke glødende jern	0
amerikansk	Den amerikanske ambassade i Paris bevogtes bl.a. af amerikanske marineinfanterister	På bredt amerikansk præsenterer en mand sig som Steve Tannenbaum, public relations manager	0
amme	borgerskabet fædre og mødre begyndte i løbet af det 17. århundrede at udvise en inderlig ligegyldighed over for deres børn og systematisk at anbringe deres nyfødte hos ammer	Jeg har en datter, som er fire måneder gammel. Hun kunne ikke amme, for hun har forskubbet en halshvirvel	0
amputere	han havde fået koldbrand i det ene ben og måtte have foden amputeret	lægeuddannelsen i Odense .. skulle amputeres til kun at omfatte 2. del	0
analyse	som voksen får hun en alvorlig depression og kommer i analyse	Andre forskere gik nu i gang med en kritisk analyse af de skandinaviske resultater	0
analytiker	Som en af verdens mest klartskuende forretningsmænd er han selvfølgelig også en skarpsindig analytiker af det politiske livs strømme	Flere analytikere mener, at kun en rentesænkning i Tyskland kan redde francen	0
anarkisme	anarkisme hvad vil det betyde? Danmark ville gå totalt i opløsning, ingen gad gå på arbejde, alle ville ligge og slås	Studenteroprøret var præget af .. anarkismen med dens ide om afskaffelse af alle centrale autoriteter i samfundet	0
anatomi	Anatomien deles i den makroskopiske anatomi, der er den del af anatomien, der kan ses med det blotte øje, og celle- og vævslære, der kun kan studeres under et mikroskop	Hvis Mette ikke kan tiltrække sig opmærksomheden verbalt, klarer anatomien det for hende	0
anbefaling	flertallet af befolkningen sagde nej til politikernes massive anbefaling af Maastricht-traktaten	jeg har på min læges anbefaling været indlagt på psykiatrisk afdeling	1
anbringelse	Hvilken minimumsafstand vil De anbefale for anbringelse af fliser ved en ligusterhæk?	Sexforbryderen blev 16. januar sidste år dømt til et års anbringelse på et psykiatrisk hospital	0
and	2-3 hunde pudses ud i søen, så ænderne kan flyve op og man på rigtig jægermaner kan skyde	hun gik bredt og vraltende som en and	1
andedam	Ak ... Danmark, lille selvhævdende provinsielle andedam!	Den naturlige skovmose er netop omdannet til andedam og videnskabelige værdier er gået tabt	0
andel	Ingen tvivl om vi landbrugere erkender at vi har en andel i forureningen	Han har også en ikke ringe andel i forestillingens sjoveste scene	1
andel	Aktionæren har som sådan en forholdsmæssig andel i selskabet	Obligationsserierne opdeles i andele på normalt 1000 kr.	1
anelse	Han havde nok en anelse om, hvor hun skjulte sig, men denne gang holdt han sit løfte og sagde intet	Smag saucen til med salt og peber og evt. en anelse citron	0
anerkende	Norge har formelt anerkendt republikken Rusland som selvstændig stat, og det har meddelt, at det ønsker at oprette diplomatiske forbindelser med republikken	Jeg anerkender med tak modtagelsen af Deres invitation, som jeg naturligvis foruddiskonterer at profitere af	0
anfægtelse	Vi havde en idé om, at man viste sandheden ovre i biografens mørke .. vi troede på Batman og Robin Hood og Zorro og Klokkeblomst, uden anfægtelser overhovedet	Hun .. betjener sig af den snigende racisme ved at mistænkeliggøre en forskers arbejde gennem anfægtelsen af hans danskhed	0
anføre	På de pærer, vi bruger til belysning i vore stuer, er der anført et watt-tal	Under debatten blev det anført, at man kunne lette arbejdspresset i forvaltningerne ved ikke at gøre alle henvendelser til en sag	0
anfører	hun var udnævnt til anfører for oprøret	Forsvaret, godt styret af anfører Steen B. Andersen, er efterhånden blevet en fast, sammentømret enhed	0
angivelse	Passet skal indeholde angivelse af pasindehaverens fulde navn	NKVD : det hemmelige politi spurgte sjældent om beviser. En anonym angivelse var nok til arrestation	0
angreb	Grupper af unge tyskere gik til angreb på et asylcenter og på forbipasserende i fire byer i det tidligere Østtyskland	jeg var bange for, at en af stjernerne i angrebet ville få til opgave at neutralisere mig	0
angribe	Tuberkulose er en bakteriesmitte, som kan angribe flere organer, men hyppigst lungerne	Sølv angribes også af de svovlforbindelser, der er i luften	1
angribe	Så tog han et skridt frem mod hende og krummede sig sammen som en tiger, der er parat til at angribe sit bytte	Julestemningen manglede i Farum Kirke, hed læserbrevet der angreb gudstjenestens form og indhold	0
animation	Videoskolen i Viborg vil etablere en uddannelse i animation -- tegning af billeder til tegnefilm	det danske studie har påtaget sig at lave 11 minutters animation til filmen	0
anke	Han udbad sig betænkningstid med hensyn til en anke af dommen	Og en anden anke: Ved lav fart høres benzinpumpens tikken fra tankområdet alt for tydeligt	0
ankermand	rytmegruppen med bassisten Christian Celinder som den egentlige ankermand fungerer udmærket	Med GOGs solide forsvar og målmanden Carsten Nielsen som en solid ankermand, kom GOG foran 6-1	1
anledning	få et godt råd til den daglige madlavning eller måske den særlige anledning	Det er en sag, der har givet anledning til mange diskussioner	0
anledning	lidt senere finder jeg en anledning til at forlade stedet	Haverne, de små rækkehushaver, er en anledning til fællesskab	1
anliggende	Det bliver mit og kun mit anliggende at afskedige ham	Det er vigtigt, at etik ikke kun bliver et anliggende for humanistisk forskning. Etik er for alle	1
anliggende	de store teologers anliggende var at forkynde troen på den ene Gud	Hvis ikke vort sprog skal gå under i fladhed og sjusk, bør der skabes en ny normgivende, autoritativ institution for sproglige anliggender	0
anlæg	det gamle tropefuglehus .. skal erstattes af et nyt anlæg til 30 millioner kroner	omkostningerne ved at få renset spildevandet på et offentligt anlæg er store	1
anlæg	virksomhedens anlæg .. laver kemisk termomasse til kartonproduktionen	hvis én enkelt radiator går, behøver man ikke at .. tømme vand af hele anlægget	1
anlæg	På det avancerede anlæg i Jørgens stue laver han og Jacob ny musik	Jeg tror ikke, jeg har anlæg for at spille klaver	0
anmelde	ledige lejligheder og værelser skal anmeldes ledige efter seks ugers ledighed	Trods 13.000 anmeldte arbejdsskader er det de færreste, der får erstatning	1
anmelde	Demonstrationen, der var anmeldt til politiet, forløb roligt, men under massivt politiopbud	Udstillingerne, deriblandt den seneste Tendenser i nyt dansk fotografi er blevet fint anmeldt	0
